%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Thu Feb  6 11:25:44 2020 nblocks = 0 ET = 3.0
drained notdrained mean
0.0 0.0 0.0
-0.08814456684605787 0.0 -0.1015092956270096
-0.13132690788736845 0.0 -0.10612736011695628
-0.13873586382077363 0.0 -0.1031881708305835
-0.1544664178931061 0.0 -0.10395347047664555
-0.18755386619744563 0.0 -0.11029821538840927
-0.12639201217136709 0.0 -0.09425510098914192
-0.13002133831638218 0.0 -0.09495480819895012
-0.16776221068149155 0.0 -0.10332778667578837
-0.20963955865556727 -0.003561716588823316 -0.113806186296418
-0.23794801330323523 -0.0014101583792189842 -0.12017120563939403
-0.26819515094018875 -0.0032907569118663105 -0.12778906199162443
-0.29559294557835614 -0.005217222884745354 -0.13471944806616007
-0.32323374560509244 -0.009111013311407845 -0.1421694739859428
-0.3487248732057502 -0.013017655628086544 -0.14913993267958123
-0.37293043022280514 -0.016940427311407547 -0.15571813287396605
-0.3965016461495843 -0.020882893754942344 -0.1619683810374225
-0.41944938303505097 -0.02486180380145875 -0.16793848300312983
-0.44162974160863655 -0.02902693074697993 -0.173664379092112
-0.46300702003646776 -0.03360572764461267 -0.1791740494740553
-0.48357456022348444 -0.03817772852332446 -0.18448981207450613
-0.5029922457678939 -0.04239708250612395 -0.18942742966380077
-0.5223001986693703 -0.04689794015483173 -0.1943457238528932
-0.5416025433231706 -0.05156134194722917 -0.19918604482976743
-0.5592690052622942 -0.05497036599929217 -0.20319684155856615
-0.5784430775773419 -0.059700353121282745 -0.20779347587194538
-0.5300519486382136 -0.008714273011673157 -0.18309203708462185
-0.5412790064804351 -0.008033889407455419 -0.18549631858185847
-0.5540059132190045 -0.008363558899656454 -0.1883369818800577
-0.5723089014425877 -0.012512122087557032 -0.19335060308825064
-0.5906662875019695 -0.016674975156622196 -0.19818245894149722
-0.6041034840760364 -0.017595514344010965 -0.20082660641039857
-0.6220255561733712 -0.02178723548652428 -0.20542962592938746
-0.6392577313599439 -0.025823398330693692 -0.2097629625250181
-0.6560615830967649 -0.030223503282211794 -0.21398030912853297
-0.671776315586726 -0.034160044421032154 -0.21781270934218105
